vx1ActNum,hteAcctNum,hteCustNum,hteLOCID
3000412,362763-31819,362763,31819
3000413,362893-23705,362893,23705
3000414,363203-23739,363203,23739
3000415,363283-23790,363283,23790
3000416,363433-20534,363433,20534
3000417,363623-23765,363623,23765
3000418,363733-23786,363733,23786
3000419,363873-28054,363873,28054
3000420,363953-28085,363953,28085
3000421,364183-28059,364183,28059
3000422,364253-15568,364253,15568
3000423,364353-29520,364353,29520
3000424,364503-29620,364503,29620
3000425,364613-30610,364613,30610
3000426,364613-30616,364613,30616
3000427,364613-33806,364613,33806
3000428,364733-16,364733,16
3000429,364753-30073,364753,30073
3000430,364753-33387,364753,33387
3000431,364793-18241,364793,18241
3000432,364883-31621,364883,31621
3000433,365073-12005,365073,12005
3000434,365213-276,365213,276
3000435,365213-37265,365213,37265
3000436,365213-44757,365213,44757
3000437,365213-50980,365213,50980
3000438,365243-5775,365243,5775
3000439,365573-30719,365573,30719
3000440,365623-30197,365623,30197
3000441,365623-33861,365623,33861
3000442,365653-9946,365653,9946
3000443,365693-43858,365693,43858
3000444,365743-5771,365743,5771
3000445,365873-39318,365873,39318
3000446,366083-29967,366083,29967
3000447,366233-33423,366233,33423
3000448,366283-30885,366283,30885
3000449,366373-31154,366373,31154
3000450,366393-37998,366393,37998
3000451,366563-10252,366563,10252
3000452,366603-29332,366603,29332
3000453,366663-8340,366663,8340
3000454,366883-29297,366883,29297
3000455,367013-28794,367013,28794
3000456,367103-28799,367103,28799
3000457,367193-651,367193,651
3000458,367283-4890,367283,4890
3000459,367393-12028,367393,12028
3000460,367403-8477,367403,8477
3000461,367483-8341,367483,8341
3000462,367583-46260,367583,46260
3000463,367603-12011,367603,12011
3000464,367673-31046,367673,31046
3000465,367723-30136,367723,30136
3000466,367733-8476,367733,8476
3000467,367773-31043,367773,31043
3000468,367813-30799,367813,30799
3000469,367893-30886,367893,30886
3000470,368063-24007,368063,24007
3000471,368083-29203,368083,29203
3000472,368313-29209,368313,29209
3000473,368603-5306,368603,5306
3000474,368603-5542,368603,5542
3000475,368633-29770,368633,29770
3000476,368713-29822,368713,29822
3000477,368713-29831,368713,29831
3000478,368713-29834,368713,29834
3000479,368713-29835,368713,29835
3000480,368803-29846,368803,29846
3000481,368803-29848,368803,29848
3000482,368803-3336,368803,3336
3000483,368803-38857,368803,38857
3000484,368913-10189,368913,10189
3000485,368963-11789,368963,11789
3000486,369033-33350,369033,33350
3000487,369063-30211,369063,30211
3000488,369133-12104,369133,12104
3000489,369133-17559,369133,17559
3000490,369133-7953,369133,7953
3000491,369153-8123,369153,8123
3000492,369233-29111,369233,29111
3000493,369283-6276,369283,6276
3000494,369513-36681,369513,36681
3000495,369613-194,369613,194
3000496,369713-12155,369713,12155
3000497,369733-30209,369733,30209
3000498,369863-12253,369863,12253
3000499,369863-38663,369863,38663
3000500,369863-44334,369863,44334
3000501,369903-12295,369903,12295
3000502,369953-30213,369953,30213
3000503,370223-179,370223,179
3000504,370273-11877,370273,11877
3000505,370313-60,370313,60
3000506,370523-68,370523,68
3000507,370733-8485,370733,8485
3000508,370923-18,370923,18
3000509,371163-44,371163,44
3000510,371373-22,371373,22
3000511,371463-33457,371463,33457
3000512,371623-28816,371623,28816
3000513,371803-29081,371803,29081
3000514,372133-28881,372133,28881
3000515,372293-28802,372293,28802
3000516,372383-29072,372383,29072
3000517,372443-29070,372443,29070
3000518,372823-28837,372823,28837
3000519,373423-29691,373423,29691
3000520,373473-12326,373473,12326
3000521,373483-41442,373483,41442
3000522,373643-12422,373643,12422
3000523,373693-12423,373693,12423
3000524,373773-12079,373773,12079
3000525,374063-12227,374063,12227
3000526,374073-12228,374073,12228
3000527,374093-30746,374093,30746
3000528,374093-33476,374093,33476
3000529,374403-29183,374403,29183
3000530,374423-29684,374423,29684
3000531,374423-31292,374423,31292
3000532,374533-31262,374533,31262
3000533,374563-30737,374563,30737
3000534,374823-30934,374823,30934
3000535,374853-1276,374853,1276
3000536,374953-12599,374953,12599
3000537,375103-538,375103,538
3000538,375173-30449,375173,30449
3000539,375173-30455,375173,30455
3000540,375233-29565,375233,29565
3000541,375433-33479,375433,33479
3000542,375523-1285,375523,1285
3000543,375523-29264,375523,29264
3000544,375523-29360,375523,29360
3000545,375523-30934,375523,30934
3000546,375523-30939,375523,30939
3000547,375523-30941,375523,30941
3000548,375523-31687,375523,31687
